,"∆RF-1/2/3/, ∆RRF, ∆EF-G_1","∆RF-1/2/3/, ∆RRF_1",∆RF-1/2/3/_1,∆RF-1/3_1,∆RF-2/3_1,"∆RF-3, ∆RRF_1","∆RF-3, ∆EF-G_1",∆RF-3_1,"∆RF-1/2/3/, ∆RRF, ∆EF-G_2","∆RF-1/2/3/, ∆RRF_2",∆RF-1/2/3/_2,∆RF-1/3_2,∆RF-2/3_2,"∆RF-3, ∆RRF_2","∆RF-3, ∆EF-G_2",∆RF-3_2,"∆RF-1/2/3/, ∆RRF, ∆EF-G_3","∆RF-1/2/3/, ∆RRF_3",∆RF-1/2/3/_3,∆RF-1/3_3,∆RF-2/3_3,"∆RF-3, ∆RRF_3","∆RF-3, ∆EF-G_3",∆RF-3_3,RF-1/2 >> prfA_1,RRF >> frr_1,EF-G >> fusA_1,"RRF >> frr, EF-G >>fusA_1","RF-1/2 >> prfA, RRF >> frr_1","EF-G >> fusA, RF-1/2 >> prfA_1","RF-1/2 >> prfA, RRF >> frr, EF-G >>fusA_1",RF-1/2 >> prfA_2,RRF >> frr_2,EF-G >> fusA_2,"RRF >> frr, EF-G >>fusA_2","RF-1/2 >> prfA, RRF >> frr_2","EF-G >> fusA, RF-1/2 >> prfA_2","RF-1/2 >> prfA, RRF >> frr, EF-G >>fusA_2",RF-1/2 >> prfA_3,RRF >> frr_3,EF-G >> fusA_3,"RRF >> frr, EF-G >>fusA_3","RF-1/2 >> prfA, RRF >> frr_3","EF-G >> fusA, RF-1/2 >> prfA_3","RF-1/2 >> prfA, RRF >> frr, EF-G >>fusA_3"
205,4928.76394,15293.52186,21456.19686,46202.51906,52623.47092,24519.49161,4660.45873,53125.052,4932.2886,14953.6037,19301.88184,41021.97456,50509.5582,25455.68368,5129.64321,55080.43075,5032.44973,14667.60271,17928.74487,35772.762,46002.62928,24632.29914,4775.58526,53214.86508,56118.26071,25341.12367,34408.52749,35300.12048,29674.57316,34068.15286,46634.18827,59561.15069,27130.94962,32311.90508,36361.29049,30525.38969,33902.30307,47143.14873,57688.39767,25876.77073,31805.05831,31701.85451,28497.2322,30022.11512,44564.27757
206,4908.25465,15350.84062,21470.06562,46196.50635,52560.49031,24443.83054,4664.15291,53151.35067,4938.0962,14974.20123,19337.96061,41097.32485,50558.85273,25460.89456,5143.2144,55024.81025,5057.48324,14749.53424,17967.91496,35818.58733,46038.54309,24721.09971,4775.19509,53260.28836,56150.42024,25443.37456,34434.50916,35336.37349,29705.19105,34164.05095,46807.39609,59549.05023,27180.64987,32305.63503,36454.7635,30525.46323,33944.10102,47121.38291,57729.46589,25875.59024,31842.6861,31697.61817,28620.74407,30093.70504,44551.09252
207,4914.75155,15375.61354,21483.68854,46186.16878,52552.16344,24410.27685,4657.71764,53222.45022,4949.69873,14975.06708,19412.98687,41142.77495,50592.95091,25513.29819,5158.4048,55081.60342,5045.82775,14811.84475,18013.63832,35856.86244,46068.8477,24719.36657,4765.39836,53335.76279,56579.80675,25585.45819,34280.83639,35142.45783,29614.39702,34380.35032,47088.13203,59573.01674,27322.21662,32412.21168,36490.92117,30582.48774,33958.03367,47151.7943,57707.48863,25894.19675,31925.89537,31732.20606,28660.24802,30191.56835,44568.03084
208,4900.25052,15349.87118,21498.89618,46127.72293,52615.05448,24443.09228,4682.23921,53236.81674,4944.89958,14985.35569,19411.32896,41158.59165,50526.31697,25478.76606,5154.13493,55071.53447,5026.27592,14768.61492,17969.21277,35754.28748,46038.94923,24671.78886,4772.13279,53344.92093,56598.26892,25393.15273,33997.61213,34818.15261,29396.13234,34124.78344,46743.04401,59529.00558,27258.73887,32353.07056,36488.97372,30529.82925,34023.34456,47234.93143,57695.16288,25939.39892,31937.96512,31797.40202,28687.41601,30195.18945,44672.01028
209,4884.08351,15342.62373,21464.63206,45945.90764,52394.35149,24372.36409,4690.07974,53397.60558,4924.63319,14990.78523,19391.77632,41220.53055,50508.43899,25473.58869,5131.71164,54984.17816,5046.42531,14708.87164,17971.73759,35741.42916,46000.31641,24686.26295,4771.04426,53467.64031,56324.08964,25281.05091,34013.53738,34882.71754,29387.71078,33960.26115,46573.348,59423.33519,27193.57962,32308.02352,36510.65791,30496.27642,34102.11485,47325.97714,57719.05429,25961.46631,31951.32171,31912.13401,28677.80534,30207.72982,44781.67009
210,4869.36117,15333.87458,21483.21069,46077.96921,52465.78383,24481.78803,4670.69325,53320.53519,4931.5444,15036.59508,19378.25877,41129.17685,50589.14633,25618.19623,5132.23721,55095.05939,5046.80844,14739.62388,18007.24586,35837.14305,46040.4388,24730.42098,4753.01475,53553.54677,56522.02988,25595.01697,34277.51246,35008.23918,29538.23693,34240.75372,47057.44933,59396.7784,27180.52654,32278.34117,36589.2193,30576.09214,34157.37162,47482.65905,57760.68476,25994.15544,32015.7739,32006.71134,28652.60178,30229.24327,44815.22336
211,4889.12039,15336.62486,21515.7369,46312.32307,52677.26128,24649.59601,4659.89775,53192.51173,4934.18147,15043.19836,19390.41959,41162.39228,50702.38211,25661.39874,5142.74574,55250.35313,5047.93615,14795.20796,17991.41529,35887.04768,46106.4796,24714.14033,4761.00492,53575.18226,56783.34329,25802.67232,34331.50415,34898.07973,29573.07898,34402.25124,47272.48311,59484.92613,27178.84218,32216.78039,36642.73977,30613.03071,34233.12387,47648.21968,57832.89492,26024.38515,32023.5913,31996.57045,28612.20059,30185.41442,44772.74112
212,4919.04013,15383.20829,21558.24563,46352.77436,52867.08709,24718.86534,4683.63258,53195.17058,4926.39382,15035.06612,19420.13986,41293.13076,50866.12737,25635.13291,5136.91525,55326.78438,5067.31205,14842.40265,18022.47176,35984.68256,46165.82653,24778.04678,4772.00164,53586.39409,56783.44776,25798.89077,34418.16805,35063.69324,29709.02633,34505.75041,47152.16104,59569.30871,27212.94739,32262.26013,36631.57992,30588.34357,34309.37462,47631.73989,57849.63164,26054.79505,32003.1971,31988.85682,28641.4002,30155.47147,44721.91371
213,4927.68004,15398.40276,21673.08188,46486.92479,53071.6957,24860.62178,4692.21086,53123.39019,4913.13127,15101.35537,19482.71329,41210.04359,50809.04246,25635.37764,5130.30508,55315.26146,5084.77068,14884.46755,18046.49059,35954.56085,46190.94218,24829.34893,4779.33388,53634.13136,56853.48259,25799.29692,34428.38935,35087.56441,29679.67544,34557.25014,47226.38701,59600.76957,27248.98246,32400.42004,36685.19331,30608.11452,34370.79154,47574.57996,57843.54388,26127.59835,32056.0657,32018.28561,28747.80007,30208.49049,44797.97124
214,4918.56001,15353.80092,21672.02729,46510.97493,53000.2319,24842.54059,4691.73695,53086.79673,4910.04376,15127.78512,19494.5711,41090.01453,50679.01415,25631.45921,5121.43503,55298.08715,5084.59023,14926.15585,18033.49686,35867.52028,46181.31406,24768.78298,4777.77796,53672.71045,56900.16086,25811.09897,34437.46312,35074.18814,29633.89181,34577.41671,47381.79567,59614.92319,27284.66082,32526.47335,36649.7311,30638.37151,34330.59718,47584.52665,57809.18129,26202.19945,32156.68857,32030.0952,28751.26669,30266.83016,44823.65708
